CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score
12829,336,11,293.0,1,1,2,112
12830,37,38,6814.64,3,3,5,335
12831,261,9,215.05,1,1,1,111
12832,31,27,383.03000000000003,4,2,2,422
12833,144,24,417.38,2,2,2,222
12834,282,18,312.38,1,2,2,122
12836,58,174,2610.36,3,5,5,355
12837,172,12,134.1,2,1,1,211
12838,33,120,671.95,3,4,3,343
12839,2,314,5591.42,5,5,5,555
12840,143,113,2726.77,2,4,5,245
12841,4,414,3991.58,5,5,5,555
12842,69,34,1118.99,3,3,4,334
12843,65,103,1702.26,3,4,4,344
12844,28,52,325.96,4,3,2,432
12845,266,27,354.09000000000003,1,2,2,122
12847,21,84,843.64,4,4,3,443
12849,30,48,1010.29,4,3,4,434
12851,96,47,131.81,2,3,1,231
12852,294,17,311.55,1,2,2,122
12853,134,78,1957.1,2,4,4,244
12854,78,109,1316.25,2,4,4,244
12855,372,3,38.099999999999994,1,1,1,111
12856,7,311,2170.78,5,5,5,555
12857,210,46,1106.4,1,3,4,134
12863,51,5,521.2,3,1,3,313
12864,137,3,147.12,2,1,1,211
12865,25,95,1568.23,4,4,4,444
12866,282,26,559.12,1,2,3,123
12867,25,534,4009.34,4,5,5,455
12868,185,107,1607.06,1,4,4,144
12871,83,11,380.64,2,1,2,212
12872,326,66,599.97,1,4,3,143
12873,281,4,374.0,1,1,2,112
12875,142,2,343.23,2,1,2,212
12876,57,85,2218.02,3,4,5,345
12877,3,154,1535.77,5,5,4,554
12878,235,47,854.99,1,3,3,133
12879,44,10,573.22,3,1,3,313
12881,275,7,298.0,1,1,2,112
12882,8,13,1463.04,5,1,4,514
12883,24,42,703.47,4,3,3,433
12884,87,7,309.05,2,1,2,212
12885,62,71,1175.22,3,4,4,344
12886,67,82,1378.4,3,4,4,344
12888,213,5,354.12,1,1,2,112
12890,23,79,376.71999999999997,4,4,2,442
12891,185,3,331.0,1,1,2,112
12893,30,31,176.55,4,3,1,431
12895,41,22,372.8,3,2,2,322
12897,204,4,216.5,1,1,1,111
12901,8,116,17654.54,5,4,5,545
12902,264,10,138.68,1,1,1,111
12904,17,71,496.06,4,4,3,443
12906,11,63,2919.81,5,4,5,545
12908,175,2,750.0,2,1,3,213
12909,39,91,2178.67,3,4,5,345
12910,22,75,3075.04,4,4,5,445
12912,2,24,1662.3,5,2,4,524
12913,4,50,2483.63,5,3,5,535
12915,148,22,363.65,2,2,2,222
12916,138,103,2944.95,2,4,5,245
12917,127,2,594.0,2,1,3,213
12919,7,50,1335.19,5,3,4,534
12920,16,27,162.78,4,2,1,421
12921,8,720,16587.09,5,5,5,555
12922,160,28,405.38,2,2,2,222
12923,63,28,172.82,3,2,1,321
12924,87,30,933.7,2,3,4,234
12925,4,45,694.05,5,3,3,533
12928,34,84,2062.7,3,4,5,345
12929,311,8,117.85,1,1,1,111
12930,77,25,415.8,2,2,2,222
12931,21,82,42055.96,4,4,5,445
12933,23,106,607.53,4,4,3,443
12935,1,129,2160.7,5,5,5,555
12936,16,62,1063.9,4,4,4,444
12937,14,120,1504.27,4,4,4,444
12938,25,9,114.14,4,1,1,411
12939,63,47,11581.8,3,3,5,335
12940,54,96,899.69,3,4,3,343
12942,130,70,675.6,2,4,3,243
12944,35,30,604.51,3,3,3,333
12945,287,23,462.95,1,2,2,122
12947,143,97,1603.99,2,4,4,244
12948,15,116,2064.95,4,4,5,445
12949,30,215,4167.22,4,5,5,455
12950,1,23,1843.0,5,2,4,524
12951,8,63,1064.07,5,4,4,544
12952,5,79,1387.79,5,4,4,544
12953,9,17,329.85,5,2,2,522
12955,0,180,4757.16,5,5,5,555
12956,305,19,108.07,1,2,1,121
12957,9,238,4017.54,5,5,5,555
12962,6,16,266.39,5,2,2,522
12963,7,95,1856.63,5,4,4,544
12965,88,108,769.8100000000001,2,4,3,243
12966,9,10,160.18,5,1,1,511
12967,357,19,1660.9,1,2,4,124
12968,111,5,135.95,2,1,1,211
12970,6,129,405.47,5,5,2,552
12971,3,305,11189.91,5,5,5,555
12974,197,8,144.8,1,1,1,111
12976,211,22,738.6,1,2,3,123
12977,155,9,39.239999999999995,2,1,1,211
12980,157,20,7374.900000000001,2,2,5,225
12981,29,20,372.21999999999997,4,2,2,422
12982,242,28,390.54,1,2,2,122
12984,18,4,97.5,4,1,1,411
12985,0,76,1239.38,5,4,4,544
12987,73,28,558.7,2,2,3,223
12988,291,83,505.82,1,4,3,143
12989,2,64,6924.11,5,4,5,545
12990,30,13,409.5,4,1,2,412
12991,22,31,503.76,4,3,3,433
12993,22,27,414.76,4,2,2,422
12994,3,61,974.42,5,4,4,544
12995,84,3,211.32,2,1,1,211
12997,21,59,1226.89,4,4,4,444
12999,195,28,455.88,1,2,2,122
13000,106,31,534.85,2,3,3,233
13001,3,337,9785.97,5,5,5,555
13002,317,7,120.95,1,1,1,111
13003,105,6,149.05,2,1,1,211
13004,11,404,5655.91,5,5,5,555
13005,173,26,513.7,2,2,3,223
13006,55,4,81.57,3,1,1,311
13008,322,14,229.47,1,1,1,111
13011,371,3,50.55,1,1,1,111
13012,8,88,1646.84,5,4,4,544
13013,0,219,4810.9400000000005,5,5,5,555
13014,10,109,3466.2799999999997,5,4,5,545
13015,52,175,3339.64,3,5,5,355
13016,72,47,789.89,2,3,3,233
13017,6,1,204.0,5,1,1,511
13018,15,458,7277.7,4,5,5,455
13021,3,131,2616.38,5,5,5,555
13023,63,40,689.9,3,3,3,333
13026,0,40,975.36,5,3,4,534
13027,113,26,6912.0,2,2,5,225
13028,22,45,661.3199999999999,4,3,3,433
13029,30,10,1247.5,4,1,4,414
13030,10,92,752.44,5,4,3,543
13032,51,71,1010.18,3,4,4,344
13033,356,11,190.55,1,1,1,111
13034,54,37,642.77,3,3,3,333
13035,73,27,921.88,2,2,3,223
13037,137,48,881.07,2,3,3,233
13038,79,28,908.46,2,2,3,223
13040,8,43,676.99,5,3,3,533
13043,272,13,516.42,1,1,3,113
13044,290,33,560.47,1,3,3,133
13045,98,18,305.28,2,2,2,222
13046,30,35,629.31,4,3,3,433
13047,31,172,3237.54,4,5,5,455
13048,13,135,1819.41,4,5,4,454
13049,63,14,656.6800000000001,3,1,3,313
13050,14,403,5836.86,4,5,5,455
13052,211,18,348.15000000000003,1,2,2,122
13055,77,76,1214.41,2,4,4,244
13058,24,8,271.40000000000003,4,1,2,412
13059,249,8,183.4,1,1,1,111
13060,253,15,307.53000000000003,1,2,2,122
13061,71,10,248.60999999999999,3,1,1,311
13062,190,11,346.98,1,1,2,112
13064,12,68,1105.59,5,4,4,544
13065,372,14,205.85999999999999,1,1,1,111
13066,23,48,470.8,4,3,2,432
13067,81,15,115.46000000000001,2,2,1,221
13068,9,2,344.0,5,1,2,512
13069,0,424,4431.44,5,5,5,555
13070,191,9,228.8,1,1,1,111
13072,266,7,177.15,1,1,1,111
13075,129,22,919.61,2,2,3,223
13077,0,111,728.02,5,4,3,543
13078,2,358,12627.94,5,5,5,555
13079,3,6,220.1,5,1,1,511
13080,178,6,58.08,2,1,1,211
13081,11,1024,28337.38,5,5,5,555
13082,125,73,3613.63,2,4,5,245
13083,3,18,303.75,5,2,2,522
13085,157,22,416.08,2,2,2,222
13089,2,1814,58762.08,5,5,5,555
13090,8,155,8910.82,5,5,5,555
13091,27,21,345.82,4,2,2,422
13092,70,25,477.83,3,2,2,322
13093,275,159,7832.47,1,5,5,155
13094,20,24,1927.3200000000002,4,2,4,424
13095,70,6,74.4,3,1,1,311
13097,32,421,6003.22,4,5,5,455
13098,0,572,28882.44,5,5,5,555
13099,98,1,207.36,2,1,1,211
13101,233,8,101.19,1,1,1,111
13102,0,304,6424.09,5,5,5,555
13103,39,8,243.94,3,1,1,311
13104,2,20,1098.48,5,2,4,524
13106,132,1,76.5,2,1,1,211
13107,43,58,1531.6200000000001,3,4,4,344
13108,372,10,350.06,1,1,2,112
13109,59,47,786.54,3,3,3,333
13110,30,145,1488.67,4,5,4,454
13113,0,200,12245.96,5,5,5,555
13115,11,120,2294.78,5,4,5,545
13116,137,30,501.14,2,3,3,233
13117,21,76,984.91,4,4,4,444
13118,19,79,1197.8100000000002,4,4,4,444
13120,238,1,30.6,1,1,1,111
13121,268,50,283.73,1,3,2,132
13122,93,55,922.39,2,3,3,233
13124,89,222,3756.33,2,5,5,255
13126,4,140,2099.64,5,5,5,555
13127,77,15,259.17,2,2,2,222
13130,93,2,64.0,2,1,1,211
13131,22,44,1073.3,4,3,4,434
13132,261,3,77.3,1,1,1,111
13133,273,7,109.8,1,1,1,111
13134,85,98,1793.58,2,4,4,244
13135,196,1,3096.0,1,1,5,115
13136,55,127,2607.61,3,5,5,355
13137,10,687,3603.29,5,5,5,555
13138,21,63,962.39,4,4,4,444
13139,15,170,5064.9400000000005,4,5,5,455
13140,107,45,422.47,2,3,2,232
13141,84,135,2388.75,2,5,5,255
13142,18,23,307.09000000000003,4,2,2,422
13144,332,3,110.95,1,1,1,111
13145,39,6,618.52,3,1,3,313
13146,25,17,228.91,4,2,1,421
13147,9,4,712.8,5,1,3,513
13148,28,312,3683.26,4,5,5,455
13149,13,86,1676.06,4,4,4,444
13151,295,74,1257.8700000000001,1,4,4,144
13153,5,15,486.22,5,2,2,522
13155,32,85,971.76,4,4,4,444
13157,48,87,1741.22,3,4,4,344
13158,94,79,1201.06,2,4,4,244
13159,8,120,1429.35,5,4,4,544
13160,21,4,91.8,4,1,1,411
13161,312,8,112.75,1,1,1,111
13162,121,79,1688.29,2,4,4,244
13165,45,42,1021.48,3,3,4,334
13166,282,41,417.2,1,3,2,132
13167,18,65,791.33,4,4,3,443
13168,35,126,1299.59,3,5,4,354
13169,63,13,712.88,3,1,3,313
13170,26,30,108.81,4,3,1,431
13171,21,46,468.41,4,3,2,432
13173,3,43,353.65000000000003,5,3,2,532
13174,15,293,2742.82,4,5,5,455
13176,45,67,481.49,3,4,2,342
13177,64,17,282.45,3,2,2,322
13178,25,265,5725.47,4,5,5,455
13182,44,11,121.18,3,1,1,311
13183,7,94,3957.78,5,4,5,545
13184,14,179,1668.95,4,5,4,454
13185,267,1,71.4,1,1,1,111
13186,39,79,1575.89,3,4,4,344
13187,336,37,236.02,1,3,1,131
13188,10,2,114.60000000000001,5,1,1,511
13189,18,29,260.68,4,2,2,422
13192,94,63,911.94,2,4,3,243
13193,60,25,112.08,3,2,1,321
13194,135,3,60.7,2,1,1,211
13196,10,110,1797.78,5,4,4,544
13198,9,226,3401.24,5,5,5,555
13199,3,119,9817.12,5,4,5,545
13200,18,46,870.09,4,3,3,433
13203,9,57,869.46,5,3,3,533
13207,14,8,250.26000000000005,4,1,2,412
13208,58,148,1217.65,3,5,4,354
13209,29,321,5891.61,4,5,5,455
13210,93,22,353.48,2,2,2,222
13211,9,55,1095.42,5,3,4,534
13212,19,141,786.83,4,5,3,453
13213,56,90,1520.58,3,4,4,344
13216,267,5,333.74,1,1,2,112
13217,121,4,533.98,2,1,3,213
13218,126,5,62.64,2,1,1,211
13220,77,21,819.2900000000001,2,2,3,223
13221,239,66,847.41,1,4,3,143
13223,199,5,163.2,1,1,1,111
13224,59,108,2155.95,3,4,5,345
13225,2,32,6463.84,5,3,5,535
13226,272,16,108.21000000000001,1,2,1,121
13227,201,9,257.7,1,1,2,112
13228,80,2,358.0,2,1,2,212
13229,225,10,160.95,1,1,1,111
13230,3,587,2755.63,5,5,5,555
13232,12,202,1328.35,5,5,4,554
13233,73,43,605.12,2,3,3,233
13235,211,58,1031.07,1,4,4,144
13236,24,36,744.85,4,3,3,433
13238,16,31,700.73,4,3,3,433
13239,261,21,329.56,1,2,2,122
13240,95,67,663.65,2,4,3,243
13242,111,13,270.40000000000003,2,1,2,212
13243,202,57,585.12,1,3,3,133
13244,92,27,121.74000000000001,2,2,1,221
13245,50,16,430.5,3,2,2,322
13246,17,136,1961.52,4,5,4,454
13247,17,25,501.12,4,2,3,423
13248,124,26,465.68,2,2,2,222
13249,91,23,711.41,2,2,3,223
13253,156,36,1030.4,2,3,4,234
13255,8,13,399.51,5,1,2,512
13258,11,36,672.8299999999999,5,3,3,533
13259,61,81,283.18,3,4,2,342
13260,60,8,557.62,3,1,3,313
13261,268,9,944.1,1,1,4,114
13262,262,11,200.29,1,1,1,111
13263,0,1667,7436.93,5,5,5,555
13265,52,90,2092.66,3,4,5,345
13266,10,187,3834.2599999999998,5,5,5,555
13267,2,211,4521.49,5,5,5,555
13268,17,433,3174.75,4,5,5,455
13269,0,315,5343.28,5,5,5,555
13270,365,1,590.0,1,1,3,113
13271,36,87,211.49,3,4,1,341
13272,30,15,276.56,4,2,2,422
